family,eps,target,label,n,metric,value,ci_lo,ci_hi
plummer3d,0.05,dQ_early,ΔQ(early),500,psi_beyond_kin,0.5591428487455835,0.41397592972229325,0.720884152695595
plummer3d,0.05,dQ_early,ΔQ(early),500,ell_star_psi,0.3,,
plummer3d,0.05,dSigr_late,Δσr(late),500,R2_fine_pos,0.08605804623032598,,
plummer3d,0.05,dSigr_late,Δσr(late),500,R2_fine_kin,0.21616751433801062,,
plummer3d,0.05,dSigr_late,Δσr(late),500,R2_bulk,0.29013509865147846,,
plummer3d,0.05,dSigr_late,Δσr(late),500,R2_phi_best,0.09491371368913104,,
plummer3d,0.05,dSigr_late,Δσr(late),500,R2_psi_best,0.5763391449936537,,
plummer3d,0.05,dSigr_late,Δσr(late),500,psi_beyond_bulk,-0.041452292806155255,-0.9165506463388576,0.36976824782594364
plummer3d,0.05,dSigr_late,Δσr(late),500,psi_beyond_phi,0.29470764991888254,-0.3938051812956322,0.618605138560641
plummer3d,0.05,dSigr_late,Δσr(late),500,psi_beyond_kin,0.28821160909275334,0.12362581249725255,0.4313152824345555
plummer3d,0.05,dSigr_late,Δσr(late),500,ell_star_psi,0.04,,
plummer3d,0.05,dBeta_late,Δβ(late),500,R2_fine_pos,0.10172733304309467,,
plummer3d,0.05,dBeta_late,Δβ(late),500,R2_fine_kin,0.08324342062225576,,
plummer3d,0.05,dBeta_late,Δβ(late),500,R2_bulk,0.2262538030129384,,
plummer3d,0.05,dBeta_late,Δβ(late),500,R2_phi_best,0.14810881340350368,,
plummer3d,0.05,dBeta_late,Δβ(late),500,R2_psi_best,0.601243516228257,,
plummer3d,0.05,dBeta_late,Δβ(late),500,psi_beyond_bulk,0.3917048239236023,0.25522614104947,0.5627640537467002
plummer3d,0.05,dBeta_late,Δβ(late),500,psi_beyond_phi,0.4773835690599614,0.35891846161970353,0.5985910179036759
plummer3d,0.05,dBeta_late,Δβ(late),500,psi_beyond_kin,0.5056409473250373,0.37922194810581217,0.6547052419260168
