seed,beta0_orig,beta0_int,beta0_sham,beta1_orig,beta1_int,beta1_sham,sigr1_orig,sigr1_int,sigr1_sham,Q0_orig,Q0_int,L0_orig,L0_int
2074,-0.00762503575586293,0.644894639719308,-0.03937405987937881,0.4808900581766714,0.6338604678053343,0.46438272719382967,0.5819226541997846,0.6411914479337465,0.57640636293817,1.9436645808563888,1.9435482700095894,0.07859097704918117,0.0605079880395263
2077,-0.059282155642118806,0.6388309833963561,-0.022306329439438555,0.47260826565570135,0.5897504577978638,0.478350935900167,0.5473602886393569,0.5890872573221697,0.5473194669132313,2.080263692984328,2.0800190570450408,0.06998584880808874,0.04813311937468979
2076,-0.0844974735208801,0.6337499678926638,-0.07631415012662757,0.40645917297794154,0.5751190927578926,0.40367061230287427,0.5505356542793605,0.6168560218424254,0.5446290217902392,2.031493160926918,2.031347398248226,0.0805417604359225,0.07134624753912491
2078,0.0019788640606706043,0.6465016203875178,0.019727929096877816,0.427280533495068,0.6101753118433513,0.4233916153302394,0.5530043320039302,0.6110627357161196,0.5486261464152383,2.0331860208708354,2.0330801447801656,0.0762004217180453,0.0682998540008787
2080,-0.006777770101360492,0.6492789850983351,-0.019028253677513485,0.48247458143715294,0.6072543208347128,0.48715760597990687,0.5475252340937874,0.6081472971247383,0.554667336760082,2.079601792310536,2.079578122135826,0.12600268422488006,0.09354652562164424
2079,-0.06256946221058368,0.6336554456373333,-0.04730302725261404,0.5069714825168646,0.6268724035644392,0.47414217180900986,0.5529616642239957,0.6099769547920681,0.5491560123773541,2.186653634500106,2.186491125572621,0.10157155327125166,0.0689131222388769
2081,-0.03886928555731961,0.634730541806386,-0.015678224112121386,0.4796863478329858,0.6317731908912267,0.4834519679494116,0.5556318559073985,0.61577570404915,0.5485200411396093,2.076845855652534,2.076720454844507,0.09997623891804679,0.0853697593832846
2082,0.03501089269026281,0.6667814464304442,0.05028831889429064,0.46935101872463403,0.6107192105222821,0.4999078918974248,0.530487809397118,0.5838301046377291,0.5395279725241131,2.1907400085033064,2.1904776151229606,0.12673252542773653,0.09542426254225185
2083,-0.0378355148020344,0.6288858845335092,-0.06386652251693814,0.46058626639902245,0.6176381088584946,0.4455363123503253,0.5627189560972499,0.6231503930461805,0.5674289992147376,2.047556121498174,2.0473245462699614,0.05714174729278003,0.04667927056165872
2084,0.0033196081885250583,0.6433583097684051,-0.03575339363088492,0.4906109181575683,0.574481552577719,0.4898334923053398,0.5357844482402107,0.5856661599976098,0.5430028697535852,2.04967836590441,2.0495521486961468,0.047788186920114425,0.02920154334976214
2087,0.052445522550141344,0.6694159356815403,0.05422037833890492,0.40666193388276983,0.5479226186929088,0.42631250021477307,0.5509977659570912,0.6005342609671124,0.5535813575376947,2.017554007141084,2.01739080543311,0.07210270940156942,0.05617372734028113
2085,0.029395684194797544,0.664975694509703,0.025060204604729797,0.5347032129401235,0.6264906457954479,0.5146980484307518,0.551503090325673,0.606979760855026,0.5510733653312592,2.18068032532528,2.1804667315871487,0.06868050081054368,0.04969070257398869
2086,0.016864450675771026,0.6579388813740009,0.04827802361155087,0.45221799150663866,0.6118875625142042,0.4480815764738686,0.5707738241270278,0.6348174714235533,0.582216272814667,1.9823493755856836,1.9821711370699755,0.09789285696487973,0.06807717028974752
2089,-0.015742561699289892,0.6445141014678477,-0.017388719993026713,0.43409525390785053,0.5998149904939679,0.3970696606917852,0.5564170624410747,0.6117390403639513,0.5463835559058964,1.9800972939549697,1.9797086998722693,0.08128083731920856,0.04777436637930856
2088,-0.015698387408318748,0.6490098926700645,-0.026303235793275093,0.45269389942022253,0.5507232431300939,0.42941809449760004,0.550090766218314,0.6032505857411198,0.5513195384359881,2.062358736168195,2.0622646609985176,0.09486905870853492,0.0744845764410615
2090,0.04327125382627384,0.6635295715843226,0.03165064779140514,0.5611441931253611,0.6612555900422974,0.5418674796815308,0.5519963737673358,0.5937316507255015,0.5551411168411036,2.3638585695734426,2.363111439542005,0.07387119830078905,0.05374054156113125
2091,0.040181554053636215,0.6599121271402971,0.054772967831858366,0.44066995472603443,0.5733418117938984,0.4430765278626958,0.5961041388673365,0.6428301361373902,0.5895673017345362,1.8804080872726883,1.879807079456117,0.10620225833482816,0.09322515748351752
2092,0.0634275676524435,0.667572264628103,0.07213548583906626,0.38421838199587055,0.568451557032799,0.4179290197429436,0.5594066203922307,0.6108993096707672,0.5575101300562451,1.9428005503602792,1.94258472483997,0.14072738751974137,0.10616330802045802
2093,0.01963489904386384,0.6562586941206405,0.0012894781704573255,0.3579555765583794,0.5432962906331846,0.3273840519903327,0.5657261001183581,0.6183583454297906,0.554317717622671,1.828931491539203,1.8287484869356019,0.024522035304000572,0.026986775632832232
2095,0.05863298492987967,0.6665037285673021,0.07818221582949669,0.39027079855704816,0.5025302114882806,0.42509295802061275,0.5470563545735702,0.598174088617419,0.567537326234908,1.932990581654347,1.9327738200536466,0.060672270463049405,0.056638712334679285
2094,0.04734243940747529,0.669041663778661,-0.023857993628511265,0.48162501516096123,0.6324191435146487,0.4811771777332119,0.560083635159619,0.6204730707373011,0.5629561901744456,2.0239051111435082,2.023614926350671,0.040795837567418024,0.047444244955212954
2096,0.09771594996964716,0.673366523465841,0.08872251164381328,0.4557798217549941,0.578392333360022,0.45494344046202684,0.5676130521572162,0.6065067115108793,0.5693754190176853,2.0093588127565662,2.009297970018259,0.09685615838916196,0.07356191094318187
2098,-0.010027553213485918,0.6363649738596637,-0.014961104089957766,0.4946997912352522,0.6447259075191869,0.4849550058656098,0.5620472594086298,0.6340663609520308,0.5567981556273295,2.1264716868706577,2.126328830923341,0.14400480396855142,0.11205509855896163
2097,0.024156098773456813,0.6536211930237813,0.011510002665283792,0.43487056166512106,0.6253881858334008,0.43695197415351716,0.5515664393593747,0.6250265801056779,0.5527562505567912,1.9438745326257707,1.943775387008367,0.10781414979669032,0.09305241020453262
2099,-0.0064773232827801674,0.6454731120624462,-0.04738588500226881,0.5217824054162157,0.6213741813345777,0.5247814521156402,0.5752168142982125,0.6415407700493404,0.5753661473794485,2.2078395294269173,2.207749227206545,0.030101858917953046,0.018088451217210845
